1463472311625	0.000	0.000	0.000	0.000
1463472311786	0.000	0.000	0.000	0.000
1463472311950	0.000	0.000	0.000	0.000
1463472312125	0.000	0.000	0.000	0.000
1463472312284	0.000	0.000	0.000	0.000
1463472312438	0.000	0.000	0.000	0.000
1463472312593	0.000	0.000	0.000	0.000
1463472312755	0.000	0.000	0.000	0.000
1463472312914	0.000	0.000	0.000	0.000
1463472313071	0.000	0.000	0.000	0.000
1463472313228	0.000	0.000	0.000	0.000
1463472313383	0.000	0.000	0.000	0.000
1463472313539	0.000	0.000	0.000	0.000
1463472313693	0.000	0.000	0.000	0.000
1463472313845	0.000	0.000	0.000	0.000
1463472314000	0.000	0.000	0.000	0.000
1463472314178	0.000	0.000	0.000	0.000
1463472314332	0.000	0.000	0.000	0.000
1463472314487	0.819	0.053	0.043	0.043
1463472314648	1.353	0.026	0.036	0.079
1463472314823	1.086	0.000	0.000	0.079
1463472314984	1.362	0.000	0.000	0.079
1463472315145	1.038	0.026	0.027	0.106
1463472315307	1.210	0.000	0.000	0.106
1463472315472	1.372	0.026	0.036	0.142
1463472315639	1.134	0.000	0.000	0.142
1463472315805	1.305	0.026	0.034	0.177
1463472315977	1.086	0.026	0.029	0.205
1463472316135	1.343	0.000	0.000	0.205
1463472316301	1.058	0.000	0.000	0.205
1463472316473	1.267	0.053	0.067	0.272
1463472316659	1.038	0.000	0.000	0.272
1463472316820	1.210	0.053	0.064	0.335
1463472316979	1.420	0.000	0.000	0.335
1463472317135	1.115	0.000	0.000	0.335
1463472317302	1.315	0.026	0.035	0.370
1463472317483	1.067	0.026	0.028	0.398
1463472317647	1.391	0.000	0.000	0.398
1463472317810	1.058	0.000	0.000	0.398
1463472317976	1.248	0.000	0.000	0.398
1463472318184	1.420	0.000	0.000	0.398
1463472318343	1.248	0.000	0.000	0.398
1463472318502	1.420	0.026	0.037	0.436
1463472318662	1.143	0.079	0.090	0.526
1463472318821	1.277	0.053	0.067	0.593
1463472318987	1.096	0.000	0.000	0.593
1463472319149	1.343	0.079	0.106	0.699
1463472319311	1.048	0.000	0.000	0.699
1463472319473	1.248	0.053	0.066	0.765
1463472319637	1.029	0.000	0.000	0.765
1463472319800	1.162	0.053	0.061	0.826
1463472319964	1.353	0.000	0.000	0.826
1463472320126	1.086	0.000	0.000	0.826
1463472320293	1.381	0.000	0.000	0.826
1463472320462	1.029	0.026	0.027	0.853
1463472320620	1.239	0.000	0.000	0.853
1463472320774	1.305	0.000	0.000	0.853
1463472320949	1.134	0.026	0.030	0.883
1463472321104	1.372	0.000	0.000	0.883
1463472321264	1.077	0.000	0.000	0.883
1463472321424	1.324	0.053	0.070	0.952
1463472321584	1.038	0.000	0.000	0.952
1463472321744	1.239	0.053	0.065	1.018
1463472321904	1.143	0.000	0.000	1.018
1463472322068	1.143	0.000	0.000	1.018
1463472322232	1.324	0.000	0.000	1.018
1463472322395	1.029	0.000	0.000	1.018
1463472322565	1.172	0.000	0.000	1.018
1463472322724	1.105	0.026	0.029	1.047
1463472322883	1.096	0.000	0.000	1.047
1463472323045	1.191	0.026	0.031	1.078
1463472323224	1.038	0.000	0.000	1.078
1463472323384	1.239	0.026	0.033	1.111
1463472323547	1.019	0.000	0.000	1.111
1463472323710	1.401	0.026	0.037	1.148
1463472323871	0.981	0.000	0.000	1.148
1463472324044	1.124	0.000	0.000	1.148
1463472324201	0.953	0.026	0.025	1.173
1463472324365	1.096	0.026	0.029	1.201
1463472324531	1.315	0.053	0.069	1.271
1463472324691	1.029	0.000	0.000	1.271
1463472324849	1.220	0.000	0.000	1.271
1463472325004	1.000	0.053	0.053	1.323
1463472325159	1.229	0.000	0.000	1.323
1463472325328	1.324	0.000	0.000	1.323
1463472325491	1.038	0.026	0.027	1.351
1463472325658	1.153	0.000	0.000	1.351
1463472325816	0.991	0.000	0.000	1.351
1463472325976	1.191	0.000	0.000	1.351
1463472326140	0.953	0.026	0.025	1.376
1463472326304	1.048	0.000	0.000	1.376
1463472326467	0.943	0.053	0.050	1.425
1463472326639	1.000	0.000	0.000	1.425
1463472326796	1.134	0.000	0.000	1.425
1463472326953	0.962	0.000	0.000	1.425
1463472327117	1.115	0.105	0.117	1.543
1463472327275	0.943	0.053	0.050	1.592
1463472327435	1.019	0.000	0.000	1.592
1463472327610	0.934	0.000	0.000	1.592
1463472327772	1.353	0.000	0.000	1.592
1463472327933	1.229	0.026	0.032	1.625
1463472328094	1.019	0.000	0.000	1.625
1463472328251	1.191	0.000	0.000	1.625
1463472328419	0.981	0.000	0.000	1.625
1463472328580	1.096	0.000	0.000	1.625
1463472328741	0.934	0.000	0.000	1.625
1463472328904	1.010	0.053	0.053	1.678
1463472329067	1.124	0.079	0.089	1.767
1463472329229	0.972	0.026	0.026	1.792
1463472329391	1.038	0.000	0.000	1.792
1463472329552	0.943	0.053	0.050	1.842
1463472329721	1.067	0.000	0.000	1.842
1463472329881	0.924	0.000	0.000	1.842
1463472330040	1.000	0.000	0.000	1.842
1463472330200	1.143	0.000	0.000	1.842
1463472330364	1.162	0.000	0.000	1.842
1463472330526	1.229	0.026	0.032	1.874
1463472330682	0.981	0.000	0.000	1.874
1463472330839	1.115	0.053	0.059	1.933
1463472330997	0.953	0.000	0.000	1.933
1463472331157	1.010	0.026	0.027	1.959
1463472331338	1.124	0.000	0.000	1.959
1463472331494	0.972	0.026	0.026	1.985
